[0;93m2026-04-15 13:43:03.113970904 [W:onnxruntime:Default, device_discovery.cc:325 DiscoverDevicesForPlatform] GPU device discovery failed: device_discovery.cc:92 ReadFileContents Failed to open file: "/sys/class/drm/card1/device/vendor"[m
2026-04-15 13:43:03,398 | INFO | ═════════════════════════════════════════════════════════════════
2026-04-15 13:43:03,398 | INFO |   Z9 ORACLE HFT v14.2 — OPTIMIZED
2026-04-15 13:43:03,398 | INFO |   TP 1.20% | SL 0.30% | R:R 4:1
2026-04-15 13:43:03,398 | INFO |   Leverage 25-50x (Half-Kelly)
2026-04-15 13:43:03,398 | INFO |   Feeds: Kraken + Gemini | Max hold: 45s
2026-04-15 13:43:03,398 | INFO | ═════════════════════════════════════════════════════════════════
2026-04-15 13:43:03,398 | INFO | [Z9] Initializing Z9OracleHFT...
2026-04-15 13:43:03,402 | INFO | [Z9] ONNX model optimized & loaded (CPU threads: 2)
2026-04-15 13:43:03,402 | INFO | [Z9] Initializing FeedHandler...
2026-04-15 13:43:03,407 | INFO | [Z9] Adding Kraken feed...
2026-04-15 13:43:03,602 | INFO | [Z9] Adding Gemini feed...
2026-04-15 13:44:48,717 | INFO | [Z9] Gemini feed added.
2026-04-15 13:44:48,717 | INFO | Connections established. Z9 v14.2 LIVE.
2026-04-15 13:48:24,624 | INFO | [OPEN]  Short BTC-USD  @ 74010.0000 | Conf: 0.950 | Lev: 33x | Pos: $250 | Trail: 0.350%
2026-04-15 13:49:11,906 | INFO | ✅ CLOSE Short BTC-USD  @ 73997.2000 | t/o   | PnL: +1.43$ (+0.017%) | Hold: 47.3s | Lev: 33x
2026-04-15 13:49:24,963 | INFO | [OPEN]  Long  BTC-USD  @ 74014.7000 | Conf: 0.928 | Lev: 32x | Pos: $250 | Trail: 0.350%
2026-04-15 13:50:13,103 | INFO | ✅ CLOSE Long  BTC-USD  @ 74034.2000 | t/o   | PnL: +2.11$ (+0.026%) | Hold: 48.1s | Lev: 32x
